"U1","U2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00040255,0.00040255,1,0.656,0.656,0.5,0.25
0.000771,0.000771,1,0.66,0.66,0.5,0.25
0.0011394,0.0011394,1,0.664,0.664,0.5,0.25
0.0015078,0.0015078,1,0.668,0.668,0.5,0.25
0.0018761,0.0018761,1,0.672,0.672,0.5,0.25
0.0025709,0.0025709,1,0.676,0.676,0.5,0.25
0.0028949,0.0028949,1,0.68,0.68,0.5,0.25
0.0032189,0.0032189,1,0.684,0.684,0.5,0.25
0.003543,0.003543,1,0.688,0.688,0.5,0.25
0.003867,0.003867,1,0.692,0.692,0.5,0.25
0.004191,0.004191,1,0.696,0.696,0.5,0.25
0.0045151,0.0045151,1,0.7,0.7,0.5,0.25
0.0048391,0.0048391,1,0.704,0.704,0.5,0.25
0.0051631,0.0051631,1,0.708,0.708,0.5,0.25
0.0054872,0.0054872,1,0.712,0.712,0.5,0.25
0.0058112,0.0058112,1,0.716,0.716,0.5,0.25
0.0061352,0.0061352,1,0.72,0.72,0.5,0.25
0.0064593,0.0064593,1,0.724,0.724,0.5,0.25
0.0067833,0.0067833,1,0.728,0.728,0.5,0.25
0.0071073,0.0071073,1,0.732,0.732,0.5,0.25
0.0074313,0.0074313,1,0.736,0.736,0.5,0.25
0.0077554,0.0077554,1,0.74,0.74,0.5,0.25
0.0080794,0.0080794,1,0.744,0.744,0.5,0.25
0.0084034,0.0084034,1,0.748,0.748,0.5,0.25
0.0087275,0.0087275,1,0.752,0.752,0.5,0.25
0.0090515,0.0090515,1,0.756,0.756,0.5,0.25
0.0093755,0.0093755,1,0.76,0.76,0.5,0.25
0.0096996,0.0096996,1,0.764,0.764,0.5,0.25
0.011741,0.011741,1,0.768,0.768,0.5,0.25
0.012102,0.012102,1,0.772,0.772,0.5,0.25
0.012462,0.012462,1,0.776,0.776,0.5,0.25
0.012823,0.012823,1,0.78,0.78,0.5,0.25
0.013184,0.013184,1,0.784,0.784,0.5,0.25
0.013545,0.013545,1,0.788,0.788,0.5,0.25
0.013906,0.013906,1,0.792,0.792,0.5,0.25
0.014148,0.014148,1,0.796,0.796,0.5,0.25
0.014636,0.014636,1,0.8,0.8,0.5,0.25
0.01653,0.01653,1,0.804,0.804,0.5,0.25
0.017334,0.017334,1,0.808,0.808,0.5,0.25
0.018137,0.018137,1,0.812,0.812,0.5,0.25
0.019021,0.019021,1,0.816,0.816,0.5,0.25
0.01988,0.01988,1,0.82,0.82,0.5,0.25
0.020739,0.020739,1,0.824,0.824,0.5,0.25
0.021597,0.021597,1,0.828,0.828,0.5,0.25
0.022456,0.022456,1,0.832,0.832,0.5,0.25
0.022265,0.022265,1,0.836,0.836,0.5,0.25
0.024344,0.024344,1,0.84,0.84,0.5,0.25
0.026423,0.026423,1,0.844,0.844,0.5,0.25
0.028502,0.028502,1,0.848,0.848,0.5,0.25
0.018492,0.018492,1,0.852,0.852,0.5,0.25
0.022048,0.022048,1,0.856,0.856,0.5,0.25
0.025605,0.025605,1,0.86,0.86,0.5,0.25
0.029161,0.029161,1,0.864,0.864,0.5,0.25
0.032717,0.032717,1,0.868,0.868,0.5,0.25
0.036273,0.036273,1,0.872,0.872,0.5,0.25
0.039829,0.039829,1,0.876,0.876,0.5,0.25
0.043385,0.043385,1,0.88,0.88,0.5,0.25
0.035595,0.035595,1,0.884,0.884,0.5,0.25
0.039774,0.039774,1,0.888,0.888,0.5,0.25
