"U1","U2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.11178,0.11178,1,0.976,0.976,0.5,0.25
0.11938,0.11938,1,0.98,0.98,0.5,0.25
0.12699,0.12699,1,0.984,0.984,0.5,0.25
0.13459,0.13459,1,0.988,0.988,0.5,0.25
0.14219,0.14219,1,0.992,0.992,0.5,0.25
0.14979,0.14979,1,0.996,0.996,0.5,0.25
0.15739,0.15739,1,1,1,0.5,0.25
0.16499,0.16499,1,1.004,1.004,0.5,0.25
0.17259,0.17259,1,1.008,1.008,0.5,0.25
0.17168,0.17168,1,1.012,1.012,0.5,0.25
0.18379,0.18379,1,1.016,1.016,0.5,0.25
0.1959,0.1959,1,1.02,1.02,0.5,0.25
0.208,0.208,1,1.024,1.024,0.5,0.25
0.22011,0.22011,1,1.028,1.028,0.5,0.25
0.23222,0.23222,1,1.032,1.032,0.5,0.25
0.24433,0.24433,1,1.036,1.036,0.5,0.25
0.25644,0.25644,1,1.04,1.04,0.5,0.25
0.26855,0.26855,1,1.044,1.044,0.5,0.25
0.28065,0.28065,1,1.048,1.048,0.5,0.25
0.29175,0.29175,1,1.052,1.052,0.5,0.25
0.30814,0.30814,1,1.056,1.056,0.5,0.25
0.32453,0.32453,1,1.06,1.06,0.5,0.25
0.34092,0.34092,1,1.064,1.064,0.5,0.25
0.35731,0.35731,1,1.068,1.068,0.5,0.25
0.37371,0.37371,1,1.072,1.072,0.5,0.25
0.3901,0.3901,1,1.076,1.076,0.5,0.25
0.40649,0.40649,1,1.08,1.08,0.5,0.25
0.38727,0.38727,1,1.084,1.084,0.5,0.25
0.42146,0.42146,1,1.088,1.088,0.5,0.25
0.45565,0.45565,1,1.092,1.092,0.5,0.25
0.48984,0.48984,1,1.096,1.096,0.5,0.25
0.52403,0.52403,1,1.1,1.1,0.5,0.25
0.55821,0.55821,1,1.104,1.104,0.5,0.25
0.5924,0.5924,1,1.108,1.108,0.5,0.25
0.62659,0.62659,1,1.112,1.112,0.5,0.25
0.66077,0.66077,1,1.116,1.116,0.5,0.25
0.69495,0.69495,1,1.12,1.12,0.5,0.25
0.72913,0.72913,1,1.124,1.124,0.5,0.25
0.76332,0.76332,1,1.128,1.128,0.5,0.25
0.7975,0.7975,1,1.132,1.132,0.5,0.25
0.83168,0.83168,1,1.136,1.136,0.5,0.25
0.86586,0.86586,1,1.14,1.14,0.5,0.25
0.85935,0.85936,1,1.144,1.144,0.5,0.25
0.91345,0.91345,1,1.148,1.148,0.5,0.25
0.96754,0.96754,1,1.152,1.152,0.5,0.25
1.0216,1.0216,1,1.156,1.156,0.5,0.25
1.0757,1.0757,1,1.16,1.16,0.5,0.25
1.1298,1.1298,1,1.164,1.164,0.5,0.25
1.1839,1.1839,1,1.168,1.168,0.5,0.25
1.238,1.238,1,1.172,1.172,0.5,0.25
1.2921,1.2921,1,1.176,1.176,0.5,0.25
1.3462,1.3462,1,1.18,1.18,0.5,0.25
1.4003,1.4003,1,1.184,1.184,0.5,0.25
1.4544,1.4544,1,1.188,1.188,0.5,0.25
1.504,1.504,1,1.192,1.192,0.5,0.25
1.569,1.569,1,1.196,1.196,0.5,0.25
1.6339,1.634,1,1.2,1.2,0.5,0.25
1.6989,1.699,1,1.204,1.204,0.5,0.25
1.7639,1.764,1,1.208,1.208,0.5,0.25
1.8289,1.8289,1,1.212,1.212,0.5,0.25
1.8939,1.8939,1,1.216,1.216,0.5,0.25
1.9588,1.9589,1,1.22,1.22,0.5,0.25
2.0238,2.0239,1,1.224,1.224,0.5,0.25
2.0888,2.0889,1,1.228,1.228,0.5,0.25
2.1538,2.1539,1,1.232,1.232,0.5,0.25
2.2188,2.2188,1,1.236,1.236,0.5,0.25
2.3689,2.369,1,1.24,1.24,0.5,0.25
2.4229,2.423,1,1.244,1.244,0.5,0.25
2.4769,2.477,1,1.248,1.248,0.5,0.25
2.5309,2.531,1,1.252,1.252,0.5,0.25
2.5849,2.5849,1,1.256,1.256,0.5,0.25
2.6389,2.6389,1,1.26,1.26,0.5,0.25
2.6929,2.6929,1,1.264,1.264,0.5,0.25
2.7468,2.7469,1,1.268,1.268,0.5,0.25
nan,nan,0,1.272,1.272,0.5,0.25
2.9207,2.9207,1,1.276,1.276,0.5,0.25
2.9607,2.9607,1,1.28,1.28,0.5,0.25
3.0006,3.0007,1,1.284,1.284,0.5,0.25
3.0406,3.0406,1,1.288,1.288,0.5,0.25
3.0806,3.0806,1,1.292,1.292,0.5,0.25
3.1206,3.1205,1,1.296,1.296,0.5,0.25
3.1605,3.1605,1,1.3,1.3,0.5,0.25
3.2005,3.2004,1,1.304,1.304,0.5,0.25
3.4381,3.4386,1,1.308,1.308,0.5,0.25
3.4633,3.4635,1,1.312,1.312,0.5,0.25
3.4884,3.4885,1,1.316,1.316,0.5,0.25
3.5135,3.5135,1,1.32,1.32,0.5,0.25
3.5386,3.5384,1,1.324,1.324,0.5,0.25
