"Density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.16533,1,1.17,1.17,0.5,0.25
0.16394,1,1.175,1.175,0.5,0.25
0.16268,1,1.18,1.18,0.5,0.25
0.16131,1,1.185,1.185,0.5,0.25
0.15983,1,1.19,1.19,0.5,0.25
0.15825,1,1.195,1.195,0.5,0.25
0.15656,1,1.2,1.2,0.5,0.25
0.15477,1,1.205,1.205,0.5,0.25
0.15286,1,1.21,1.21,0.5,0.25
0.15085,1,1.215,1.215,0.5,0.25
0.14874,1,1.22,1.22,0.5,0.25
0.14651,1,1.225,1.225,0.5,0.25
0.14418,1,1.23,1.23,0.5,0.25
0.14175,1,1.235,1.235,0.5,0.25
0.13921,1,1.24,1.24,0.5,0.25
0.13656,1,1.245,1.245,0.5,0.25
0.1338,1,1.25,1.25,0.5,0.25
0.13094,1,1.255,1.255,0.5,0.25
0.12797,1,1.26,1.26,0.5,0.25
0.12489,1,1.265,1.265,0.5,0.25
0.12101,1,1.27,1.27,0.5,0.25
0.12017,1,1.275,1.275,0.5,0.25
0.11926,1,1.28,1.28,0.5,0.25
0.1183,1,1.285,1.285,0.5,0.25
0.11727,1,1.29,1.29,0.5,0.25
0.11617,1,1.295,1.295,0.5,0.25
0.11502,1,1.3,1.3,0.5,0.25
0.11381,1,1.305,1.305,0.5,0.25
0.11253,1,1.31,1.31,0.5,0.25
0.11119,1,1.315,1.315,0.5,0.25
0.10979,1,1.32,1.32,0.5,0.25
0.10833,1,1.325,1.325,0.5,0.25
0.1068,1,1.33,1.33,0.5,0.25
0.10521,1,1.335,1.335,0.5,0.25
0.10356,1,1.34,1.34,0.5,0.25
0.10185,1,1.345,1.345,0.5,0.25
0.10008,1,1.35,1.35,0.5,0.25
0.098247,1,1.355,1.355,0.5,0.25
0.09635,1,1.36,1.36,0.5,0.25
0.094392,1,1.365,1.365,0.5,0.25
0.087595,1,1.37,1.37,0.5,0.25
0.086351,1,1.375,1.375,0.5,0.25
0.085096,1,1.38,1.38,0.5,0.25
0.083829,1,1.385,1.385,0.5,0.25
0.082552,1,1.39,1.39,0.5,0.25
0.081262,1,1.395,1.395,0.5,0.25
0.079962,1,1.4,1.4,0.5,0.25
0.07865,1,1.405,1.405,0.5,0.25
0.077327,1,1.41,1.41,0.5,0.25
0.075992,1,1.415,1.415,0.5,0.25
0.074646,1,1.42,1.42,0.5,0.25
0.073289,1,1.425,1.425,0.5,0.25
0.071921,1,1.43,1.43,0.5,0.25
0.070541,1,1.435,1.435,0.5,0.25
0.066551,1,1.44,1.44,0.5,0.25
0.065466,1,1.445,1.445,0.5,0.25
0.064407,1,1.45,1.45,0.5,0.25
0.063374,1,1.455,1.455,0.5,0.25
0.062368,1,1.46,1.46,0.5,0.25
0.061387,1,1.465,1.465,0.5,0.25
0.060433,1,1.47,1.47,0.5,0.25
0.060863,1,1.475,1.475,0.5,0.25
0.060442,1,1.48,1.48,0.5,0.25
0.059988,1,1.485,1.485,0.5,0.25
0.059502,1,1.49,1.49,0.5,0.25
0.058982,1,1.495,1.495,0.5,0.25
0.058429,1,1.5,1.5,0.5,0.25
0.057844,1,1.505,1.505,0.5,0.25
0.057226,1,1.51,1.51,0.5,0.25
0.056575,1,1.515,1.515,0.5,0.25
0.055891,1,1.52,1.52,0.5,0.25
0.055174,1,1.525,1.525,0.5,0.25
0.054424,1,1.53,1.53,0.5,0.25
0.053642,1,1.535,1.535,0.5,0.25
0.052827,1,1.54,1.54,0.5,0.25
0.051979,1,1.545,1.545,0.5,0.25
0.051098,1,1.55,1.55,0.5,0.25
0.050184,1,1.555,1.555,0.5,0.25
0.049237,1,1.56,1.56,0.5,0.25
0.048257,1,1.565,1.565,0.5,0.25
0.047243,1,1.57,1.57,0.5,0.25
0.046197,1,1.575,1.575,0.5,0.25
0.044179,1,1.58,1.58,0.5,0.25
0.043664,1,1.585,1.585,0.5,0.25
0.043135,1,1.59,1.59,0.5,0.25
0.042592,1,1.595,1.595,0.5,0.25
0.042034,1,1.6,1.6,0.5,0.25
0.041461,1,1.605,1.605,0.5,0.25
0.040875,1,1.61,1.61,0.5,0.25
0.040273,1,1.615,1.615,0.5,0.25
0.039658,1,1.62,1.62,0.5,0.25
0.039028,1,1.625,1.625,0.5,0.25
0.038383,1,1.63,1.63,0.5,0.25
0.037724,1,1.635,1.635,0.5,0.25
0.03705,1,1.64,1.64,0.5,0.25
0.036362,1,1.645,1.645,0.5,0.25
0.03566,1,1.65,1.65,0.5,0.25
0.034943,1,1.655,1.655,0.5,0.25
0.034212,1,1.66,1.66,0.5,0.25
0.033466,1,1.665,1.665,0.5,0.25
0.032704,1,1.67,1.67,0.5,0.25
0.03193,1,1.675,1.675,0.5,0.25
0.031277,1,1.68,1.68,0.5,0.25
0.031105,1,1.685,1.685,0.5,0.25
0.030908,1,1.69,1.69,0.5,0.25
0.030687,1,1.695,1.695,0.5,0.25
0.030442,1,1.7,1.7,0.5,0.25
0.030173,1,1.705,1.705,0.5,0.25
0.029881,1,1.71,1.71,0.5,0.25
0.029564,1,1.715,1.715,0.5,0.25
0.029223,1,1.72,1.72,0.5,0.25
0.028858,1,1.725,1.725,0.5,0.25
0.028469,1,1.73,1.73,0.5,0.25
0.028056,1,1.735,1.735,0.5,0.25
0.027619,1,1.74,1.74,0.5,0.25
0.027158,1,1.745,1.745,0.5,0.25
0.026672,1,1.75,1.75,0.5,0.25
0.026163,1,1.755,1.755,0.5,0.25
0.02563,1,1.76,1.76,0.5,0.25
0.025073,1,1.765,1.765,0.5,0.25
0.02449,1,1.77,1.77,0.5,0.25
0.023885,1,1.775,1.775,0.5,0.25
0.02363,1,1.78,1.78,0.5,0.25
0.023521,1,1.785,1.785,0.5,0.25
0.023399,1,1.79,1.79,0.5,0.25
0.023266,1,1.795,1.795,0.5,0.25
0.02312,1,1.8,1.8,0.5,0.25
0.022961,1,1.805,1.805,0.5,0.25
0.022791,1,1.81,1.81,0.5,0.25
0.022608,1,1.815,1.815,0.5,0.25
0.022412,1,1.82,1.82,0.5,0.25
0.022204,1,1.825,1.825,0.5,0.25
0.021984,1,1.83,1.83,0.5,0.25
0.021751,1,1.835,1.835,0.5,0.25
0.021506,1,1.84,1.84,0.5,0.25
0.021249,1,1.845,1.845,0.5,0.25
0.020979,1,1.85,1.85,0.5,0.25
0.020697,1,1.855,1.855,0.5,0.25
0.020402,1,1.86,1.86,0.5,0.25
0.020095,1,1.865,1.865,0.5,0.25
0.019776,1,1.87,1.87,0.5,0.25
