"Density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.2219,1,1.1,1.1,0.5,0.25
0.21702,1,1.105,1.105,0.5,0.25
0.21181,1,1.11,1.11,0.5,0.25
0.20742,1,1.115,1.115,0.5,0.25
0.20304,1,1.12,1.12,0.5,0.25
0.19865,1,1.125,1.125,0.5,0.25
0.19427,1,1.13,1.13,0.5,0.25
0.18988,1,1.135,1.135,0.5,0.25
0.18549,1,1.14,1.14,0.5,0.25
0.18111,1,1.145,1.145,0.5,0.25
0.17716,1,1.15,1.15,0.5,0.25
0.17317,1,1.155,1.155,0.5,0.25
0.16917,1,1.16,1.16,0.5,0.25
0.16518,1,1.165,1.165,0.5,0.25
0.16118,1,1.17,1.17,0.5,0.25
0.15719,1,1.175,1.175,0.5,0.25
0.1532,1,1.18,1.18,0.5,0.25
0.1492,1,1.185,1.185,0.5,0.25
0.14612,1,1.19,1.19,0.5,0.25
0.14357,1,1.195,1.195,0.5,0.25
0.14015,1,1.2,1.2,0.5,0.25
0.13674,1,1.205,1.205,0.5,0.25
0.13332,1,1.21,1.21,0.5,0.25
0.1299,1,1.215,1.215,0.5,0.25
0.12648,1,1.22,1.22,0.5,0.25
0.12349,1,1.225,1.225,0.5,0.25
0.12035,1,1.23,1.23,0.5,0.25
0.11721,1,1.235,1.235,0.5,0.25
0.11402,1,1.24,1.24,0.5,0.25
0.11143,1,1.245,1.245,0.5,0.25
0.10885,1,1.25,1.25,0.5,0.25
0.10626,1,1.255,1.255,0.5,0.25
0.10368,1,1.26,1.26,0.5,0.25
0.10158,1,1.265,1.265,0.5,0.25
0.099366,1,1.27,1.27,0.5,0.25
0.097155,1,1.275,1.275,0.5,0.25
0.094945,1,1.28,1.28,0.5,0.25
0.092734,1,1.285,1.285,0.5,0.25
0.090524,1,1.29,1.29,0.5,0.25
0.088314,1,1.295,1.295,0.5,0.25
0.086452,1,1.3,1.3,0.5,0.25
0.084401,1,1.305,1.305,0.5,0.25
0.082349,1,1.31,1.31,0.5,0.25
0.080298,1,1.315,1.315,0.5,0.25
0.078247,1,1.32,1.32,0.5,0.25
0.076825,1,1.325,1.325,0.5,0.25
0.075133,1,1.33,1.33,0.5,0.25
0.073442,1,1.335,1.335,0.5,0.25
0.07175,1,1.34,1.34,0.5,0.25
0.070059,1,1.345,1.345,0.5,0.25
0.068367,1,1.35,1.35,0.5,0.25
0.066676,1,1.355,1.355,0.5,0.25
0.064943,1,1.36,1.36,0.5,0.25
0.064067,1,1.365,1.365,0.5,0.25
0.06251,1,1.37,1.37,0.5,0.25
0.062474,1,1.375,1.375,0.5,0.25
0.060961,1,1.38,1.38,0.5,0.25
0.059447,1,1.385,1.385,0.5,0.25
0.057934,1,1.39,1.39,0.5,0.25
0.057472,1,1.395,1.395,0.5,0.25
0.056359,1,1.4,1.4,0.5,0.25
0.055251,1,1.405,1.405,0.5,0.25
0.052308,1,1.41,1.41,0.5,0.25
0.05133,1,1.415,1.415,0.5,0.25
0.050352,1,1.42,1.42,0.5,0.25
0.049375,1,1.425,1.425,0.5,0.25
0.048397,1,1.43,1.43,0.5,0.25
0.047419,1,1.435,1.435,0.5,0.25
0.046441,1,1.44,1.44,0.5,0.25
0.04562,1,1.445,1.445,0.5,0.25
0.044728,1,1.45,1.45,0.5,0.25
0.043836,1,1.455,1.455,0.5,0.25
0.042944,1,1.46,1.46,0.5,0.25
0.042052,1,1.465,1.465,0.5,0.25
0.04116,1,1.47,1.47,0.5,0.25
0.040268,1,1.475,1.475,0.5,0.25
0.039376,1,1.48,1.48,0.5,0.25
0.038484,1,1.485,1.485,0.5,0.25
0.038072,1,1.49,1.49,0.5,0.25
0.037366,1,1.495,1.495,0.5,0.25
0.036659,1,1.5,1.5,0.5,0.25
0.035953,1,1.505,1.505,0.5,0.25
0.035247,1,1.51,1.51,0.5,0.25
0.034712,1,1.515,1.515,0.5,0.25
0.03405,1,1.52,1.52,0.5,0.25
0.033289,1,1.525,1.525,0.5,0.25
0.032689,1,1.53,1.53,0.5,0.25
0.032088,1,1.535,1.535,0.5,0.25
0.031487,1,1.54,1.54,0.5,0.25
0.030887,1,1.545,1.545,0.5,0.25
0.030286,1,1.55,1.55,0.5,0.25
0.029686,1,1.555,1.555,0.5,0.25
0.029085,1,1.56,1.56,0.5,0.25
0.028485,1,1.565,1.565,0.5,0.25
0.027884,1,1.57,1.57,0.5,0.25
0.027284,1,1.575,1.575,0.5,0.25
0.026683,1,1.58,1.58,0.5,0.25
0.026083,1,1.585,1.585,0.5,0.25
0.025636,1,1.59,1.59,0.5,0.25
0.025187,1,1.595,1.595,0.5,0.25
0.024896,1,1.6,1.6,0.5,0.25
0.024454,1,1.605,1.605,0.5,0.25
0.024634,1,1.61,1.61,0.5,0.25
0.024221,1,1.615,1.615,0.5,0.25
0.023809,1,1.62,1.62,0.5,0.25
0.023397,1,1.625,1.625,0.5,0.25
0.022984,1,1.63,1.63,0.5,0.25
0.022572,1,1.635,1.635,0.5,0.25
0.022254,1,1.64,1.64,0.5,0.25
0.021871,1,1.645,1.645,0.5,0.25
0.021488,1,1.65,1.65,0.5,0.25
0.021105,1,1.655,1.655,0.5,0.25
0.020722,1,1.66,1.66,0.5,0.25
0.020339,1,1.665,1.665,0.5,0.25
0.019956,1,1.67,1.67,0.5,0.25
0.019573,1,1.675,1.675,0.5,0.25
0.019303,1,1.68,1.68,0.5,0.25
0.019048,1,1.685,1.685,0.5,0.25
0.018792,1,1.69,1.69,0.5,0.25
0.018537,1,1.695,1.695,0.5,0.25
0.018282,1,1.7,1.7,0.5,0.25
0.018026,1,1.705,1.705,0.5,0.25
0.01782,1,1.71,1.71,0.5,0.25
0.017543,1,1.715,1.715,0.5,0.25
0.017266,1,1.72,1.72,0.5,0.25
0.016917,1,1.725,1.725,0.5,0.25
0.016661,1,1.73,1.73,0.5,0.25
0.016404,1,1.735,1.735,0.5,0.25
0.016147,1,1.74,1.74,0.5,0.25
0.01589,1,1.745,1.745,0.5,0.25
0.015633,1,1.75,1.75,0.5,0.25
0.015377,1,1.755,1.755,0.5,0.25
0.01512,1,1.76,1.76,0.5,0.25
0.014863,1,1.765,1.765,0.5,0.25
0.014606,1,1.77,1.77,0.5,0.25
0.01435,1,1.775,1.775,0.5,0.25
0.014093,1,1.78,1.78,0.5,0.25
0.013836,1,1.785,1.785,0.5,0.25
0.013949,1,1.79,1.79,0.5,0.25
0.013714,1,1.795,1.795,0.5,0.25
0.013543,1,1.8,1.8,0.5,0.25
0.013397,1,1.805,1.805,0.5,0.25
0.013251,1,1.81,1.81,0.5,0.25
0.013105,1,1.815,1.815,0.5,0.25
0.013101,1,1.82,1.82,0.5,0.25
0.01298,1,1.825,1.825,0.5,0.25
0.012858,1,1.83,1.83,0.5,0.25
0.012736,1,1.835,1.835,0.5,0.25
0.012641,1,1.84,1.84,0.5,0.25
0.012534,1,1.845,1.845,0.5,0.25
0.012426,1,1.85,1.85,0.5,0.25
0.012319,1,1.855,1.855,0.5,0.25
0.012211,1,1.86,1.86,0.5,0.25
0.012104,1,1.865,1.865,0.5,0.25
0.011996,1,1.87,1.87,0.5,0.25
0.011914,1,1.875,1.875,0.5,0.25
0.011805,1,1.88,1.88,0.5,0.25
0.011695,1,1.885,1.885,0.5,0.25
0.011586,1,1.89,1.89,0.5,0.25
0.011477,1,1.895,1.895,0.5,0.25
0.011222,1,1.9,1.9,0.5,0.25
0.011129,1,1.905,1.905,0.5,0.25
0.011281,1,1.91,1.91,0.5,0.25
0.011175,1,1.915,1.915,0.5,0.25
0.01107,1,1.92,1.92,0.5,0.25
0.010964,1,1.925,1.925,0.5,0.25
0.010859,1,1.93,1.93,0.5,0.25
0.010445,1,1.935,1.935,0.5,0.25
0.010361,1,1.94,1.94,0.5,0.25
0.010276,1,1.945,1.945,0.5,0.25
0.010192,1,1.95,1.95,0.5,0.25
0.01068,1,1.955,1.955,0.5,0.25
0.010593,1,1.96,1.96,0.5,0.25
0.010505,1,1.965,1.965,0.5,0.25
0.010418,1,1.97,1.97,0.5,0.25
0.010225,1,1.975,1.975,0.5,0.25
0.010145,1,1.98,1.98,0.5,0.25
0.010066,1,1.985,1.985,0.5,0.25
0.0099856,1,1.99,1.99,0.5,0.25
0.0099058,1,1.995,1.995,0.5,0.25
0.0098259,1,2,2,0.5,0.25
0.009746,1,2.005,2.005,0.5,0.25
0.0097065,1,2.01,2.01,0.5,0.25
0.0096912,1,2.015,2.015,0.5,0.25
0.0096182,1,2.02,2.02,0.5,0.25
0.0095451,1,2.025,2.025,0.5,0.25
0.0094721,1,2.03,2.03,0.5,0.25
0.009399,1,2.035,2.035,0.5,0.25
0.009326,1,2.04,2.04,0.5,0.25
