"U","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-10,1,0.0396,1.9396,0.5,0.25
-10,1,0.0398,1.9398,0.5,0.25
-10,1,0.04,1.94,0.5,0.25
-10,1,0.0402,1.9402,0.5,0.25
-10,1,0.0404,1.9404,0.5,0.25
-10,1,0.0406,1.9406,0.5,0.25
-10,1,0.0408,1.9408,0.5,0.25
-10,1,0.041,1.941,0.5,0.25
-10,1,0.0412,1.9412,0.5,0.25
-10,1,0.0414,1.9414,0.5,0.25
-10,1,0.0416,1.9416,0.5,0.25
-10,1,0.0418,1.9418,0.5,0.25
-10,1,0.042,1.942,0.5,0.25
-10,1,0.0422,1.9422,0.5,0.25
-10,1,0.0424,1.9424,0.5,0.25
-10,1,0.0426,1.9426,0.5,0.25
-10,1,0.0428,1.9428,0.5,0.25
-10,1,0.043,1.943,0.5,0.25
-10,1,0.0432,1.9432,0.5,0.25
-10,1,0.0434,1.9434,0.5,0.25
-10,1,0.0436,1.9436,0.5,0.25
-10,1,0.0438,1.9438,0.5,0.25
-10,1,0.044,1.944,0.5,0.25
-10,1,0.0442,1.9442,0.5,0.25
-10,1,0.0444,1.9444,0.5,0.25
-10,1,0.0446,1.9446,0.5,0.25
-10,1,0.0448,1.9448,0.5,0.25
-10,1,0.045,1.945,0.5,0.25
-10,1,0.0452,1.9452,0.5,0.25
-10,1,0.0454,1.9454,0.5,0.25
-10,1,0.0456,1.9456,0.5,0.25
-10,1,0.0458,1.9458,0.5,0.25
-10,1,0.046,1.946,0.5,0.25
-10,1,0.0462,1.9462,0.5,0.25
-10,1,0.0464,1.9464,0.5,0.25
-10,1,0.0466,1.9466,0.5,0.25
-10,1,0.0468,1.9468,0.5,0.25
-10,1,0.047,1.947,0.5,0.25
-10,1,0.0472,1.9472,0.5,0.25
-10,1,0.0474,1.9474,0.5,0.25
-10,1,0.0476,1.9476,0.5,0.25
-10,1,0.0478,1.9478,0.5,0.25
-10,1,0.048,1.948,0.5,0.25
-10,1,0.0482,1.9482,0.5,0.25
-10,1,0.0484,1.9484,0.5,0.25
-10,1,0.0486,1.9486,0.5,0.25
-10,1,0.0488,1.9488,0.5,0.25
-10,1,0.049,1.949,0.5,0.25
-10,1,0.0492,1.9492,0.5,0.25
-10,1,0.0494,1.9494,0.5,0.25
-10,1,0.0496,1.9496,0.5,0.25
-10,1,0.0498,1.9498,0.5,0.25
-10,1,0.05,1.95,0.5,0.25
-10,1,0.0502,1.9502,0.5,0.25
-10,1,0.0504,1.9504,0.5,0.25
-10,1,0.0506,1.9506,0.5,0.25
-10,1,0.0508,1.9508,0.5,0.25
