"U","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-10,1,0.96,0.96,0.5,0.25
-10,1,0.964,0.964,0.5,0.25
-10,1,0.968,0.968,0.5,0.25
-10,1,0.972,0.972,0.5,0.25
-10,1,0.976,0.976,0.5,0.25
-10,1,0.98,0.98,0.5,0.25
-10,1,0.984,0.984,0.5,0.25
-10,1,0.988,0.988,0.5,0.25
-10,1,0.992,0.992,0.5,0.25
-10,1,0.996,0.996,0.5,0.25
-10,1,1,1,0.5,0.25
-10,1,1.004,1.004,0.5,0.25
-10,1,1.008,1.008,0.5,0.25
-10,1,1.012,1.012,0.5,0.25
-10,1,1.016,1.016,0.5,0.25
-10,1,1.02,1.02,0.5,0.25
-10,1,1.024,1.024,0.5,0.25
-10,1,1.028,1.028,0.5,0.25
-10,1,1.032,1.032,0.5,0.25
-10,1,1.036,1.036,0.5,0.25
-10,1,1.04,1.04,0.5,0.25
-10,1,1.044,1.044,0.5,0.25
-10,1,1.048,1.048,0.5,0.25
-10,1,1.052,1.052,0.5,0.25
-10,1,1.056,1.056,0.5,0.25
-10,1,1.06,1.06,0.5,0.25
-10,1,1.064,1.064,0.5,0.25
-10,1,1.068,1.068,0.5,0.25
-10,1,1.072,1.072,0.5,0.25
-10,1,1.076,1.076,0.5,0.25
-10,1,1.08,1.08,0.5,0.25
-10,1,1.084,1.084,0.5,0.25
-10,1,1.088,1.088,0.5,0.25
-10,1,1.092,1.092,0.5,0.25
-10,1,1.096,1.096,0.5,0.25
-10,1,1.1,1.1,0.5,0.25
-10,1,1.104,1.104,0.5,0.25
-10,1,1.108,1.108,0.5,0.25
-10,1,1.112,1.112,0.5,0.25
-10,1,1.116,1.116,0.5,0.25
-10,1,1.12,1.12,0.5,0.25
-10,1,1.124,1.124,0.5,0.25
-10,1,1.128,1.128,0.5,0.25
-10,1,1.132,1.132,0.5,0.25
-10,1,1.136,1.136,0.5,0.25
-10,1,1.14,1.14,0.5,0.25
-10,1,1.144,1.144,0.5,0.25
-10,1,1.148,1.148,0.5,0.25
-10,1,1.152,1.152,0.5,0.25
-10,1,1.156,1.156,0.5,0.25
-10,1,1.16,1.16,0.5,0.25
-10,1,1.164,1.164,0.5,0.25
-10,1,1.168,1.168,0.5,0.25
-10,1,1.172,1.172,0.5,0.25
-10,1,1.176,1.176,0.5,0.25
-10,1,1.18,1.18,0.5,0.25
-10,1,1.184,1.184,0.5,0.25
-10,1,1.188,1.188,0.5,0.25
-9.9999,1,1.192,1.192,0.5,0.25
-9.9999,1,1.196,1.196,0.5,0.25
-9.9999,1,1.2,1.2,0.5,0.25
-9.9999,1,1.204,1.204,0.5,0.25
-9.9999,1,1.208,1.208,0.5,0.25
-9.9999,1,1.212,1.212,0.5,0.25
-9.9999,1,1.216,1.216,0.5,0.25
-9.9999,1,1.22,1.22,0.5,0.25
-9.9999,1,1.224,1.224,0.5,0.25
-9.9999,1,1.228,1.228,0.5,0.25
-9.9998,1,1.232,1.232,0.5,0.25
-9.9998,1,1.236,1.236,0.5,0.25
-9.9998,1,1.24,1.24,0.5,0.25
-9.9998,1,1.244,1.244,0.5,0.25
-9.9997,1,1.248,1.248,0.5,0.25
-9.9997,1,1.252,1.252,0.5,0.25
-9.9997,1,1.256,1.256,0.5,0.25
-9.9997,1,1.26,1.26,0.5,0.25
-9.9997,1,1.264,1.264,0.5,0.25
-9.9997,1,1.268,1.268,0.5,0.25
nan,0,1.272,1.272,0.5,0.25
-9.9997,1,1.276,1.276,0.5,0.25
-9.9997,1,1.28,1.28,0.5,0.25
-9.9997,1,1.284,1.284,0.5,0.25
-9.9997,1,1.288,1.288,0.5,0.25
-9.9997,1,1.292,1.292,0.5,0.25
-9.9996,1,1.296,1.296,0.5,0.25
-9.9996,1,1.3,1.3,0.5,0.25
-9.9996,1,1.304,1.304,0.5,0.25
